,recType,t_secs,t_nsecs,fe,ps,beta
23,PS_MIN,1674801693,536724323,91.92124013135427,20.610273392417657,11.020701547481764
24,FE_MAX,1674801736,917134138,128.17558609443034,15.125960346041662,-24.96109351463379
25,FE_MIN,1674801739,556825104,-10.353751707027664,3.258377760824011,28.781751952900322
26,PS_MAX,1674801742,96874621,63.733094923209734,-119.45932011426446,-21.366635051804106
27,PS_MIN,1674801744,197532901,75.00151641899228,33.3647309268151,13.638175333798976
28,FE_MAX,1674801747,336832021,128.49115460498734,10.561202198200476,-25.288885759318383
29,FE_MIN,1674801749,656831633,-12.245676376388559,12.66110582450351,28.01287508929479
30,PS_MAX,1674801752,36811963,63.309853955045305,-122.61711413277584,-20.872531971417857
31,PS_MIN,1674801754,296750781,76.57018381648084,35.96749596390372,19.15249048760655
32,FE_MAX,1674801799,236807810,132.06188441440497,14.000189909015758,-18.834096027835294
33,FE_MIN,1674801801,617002597,-11.301728783047032,9.059465839626634,26.929244296855423
34,PS_MAX,1674801804,416792080,81.21943499360518,-111.32790960692512,-27.98710493575632
35,PS_MIN,1674801806,516923560,86.60965622950198,40.19369363120175,10.530305533429681
36,FE_MAX,1674801809,176770544,128.1795761357625,7.941193558786558,-22.11231975547925
37,FE_MIN,1674801811,396781590,-13.244357537458232,12.987468425672347,28.825643162365278
38,PS_MAX,1674801814,236813155,73.47791481133889,-119.19621114804238,-21.712384302385537
39,PS_MIN,1674801816,576749666,84.44776236368027,36.962800076369255,16.21971593392519
40,FE_MAX,1674801859,516766541,126.96285444429974,10.401416631914609,-17.854215393130584
41,FE_MIN,1674801862,236730599,-12.1344243660135,4.220076198599716,29.614500616143125
42,PS_MAX,1674801864,656782082,81.02553129122059,-122.48070185834662,-23.718966997758542
43,PS_MIN,1674801866,736933692,87.26032472957685,28.586606677404436,11.977999558168609
44,FE_MAX,1674801868,736779425,131.366170406989,-6.77959415300718,-21.9009187502639
45,FE_MIN,1674801870,936776375,-12.95847061107816,4.833783391211713,31.15413178478763
46,PS_MAX,1674801873,396821017,76.25508527301437,-116.10765961746765,-22.173834036993128
47,PS_MIN,1674801875,516748618,84.8258840064433,27.22270971456776,17.71492225786587
48,FE_MAX,1674801951,336749449,119.21374450151964,-6.416370703203114,-20.118655861144017
49,FE_MIN,1674801954,16732921,-10.726343537883155,-2.4634902309314453,24.25920231131998
50,PS_MAX,1674801956,416771570,76.24477583972724,-125.5494190590735,-22.41588578086517
51,PS_MIN,1674801958,356874106,81.06221309412025,27.512315240437978,13.000234393233269
52,FE_MAX,1674801979,136767779,124.74229789117612,0.0948271647313816,-27.665160313499786
53,FE_MIN,1674801981,836770103,-4.803011660284552,-4.69858557341248,26.308186879428515
54,PS_MAX,1674801984,256757485,76.10400241440551,-120.70827688728305,-24.947889911515595
55,PS_MIN,1674801986,496764642,81.54257551500488,26.93609810506464,9.31470166104092
56,FE_MAX,1674801989,516721580,131.6982606164075,-8.668814079037634,-28.622481562523845
57,FE_MIN,1674801992,56728190,-7.086371272542591,-0.8607145535319779,28.998485018066084
58,PS_MAX,1674801994,516878801,79.58048927607227,-120.41425722722566,-25.073428514779472
59,PS_MIN,1674801997,436754822,85.81071724864368,26.79408633290258,10.727798219116522
60,FE_MAX,1674802079,16870778,133.17272332695057,-19.072727698937804,-27.570039535778633
61,FE_MIN,1674802081,356837554,-2.241887260028982,-4.47715241070251,24.236621900230173
62,PS_MAX,1674802084,196815604,85.34548459228817,-129.57306970179175,-27.508506211998874
63,PS_MIN,1674802086,536811633,104.4882840395462,15.310516988413768,9.924313988997877
64,FE_MAX,1674802108,796880348,123.32288731758639,7.426393652543928,-24.87912277320404
65,FE_MIN,1674802112,436776059,-6.949874325377936,-4.194183323648709,26.354378490728156
66,PS_MAX,1674802115,76789838,83.06077819300945,-114.77459323257595,-28.073445901556482
67,PS_MIN,1674802117,496862658,91.18571267363994,24.167135553070246,9.06820094169715
68,FE_MAX,1674802121,216711928,126.93560873455831,-2.30180034026098,-20.30209516378261
69,FE_MIN,1674802123,576819099,0.08651496859053841,-7.040836217853666,27.137612618405704
70,PS_MAX,1674802126,336730247,71.01417061071594,-118.07753041928461,-23.96432616796955
71,PS_MIN,1674802128,976847206,82.37290473642926,24.64142624044667,9.562377270219898
72,FE_MAX,1674802146,616759305,122.45781554275005,3.069241749835776,-27.372860512264836
73,FE_MIN,1674802148,876853340,-11.175788426372035,-0.9091909785130219,20.22864762179591
74,PS_MAX,1674802151,476825869,70.72486985692481,-115.78408818167978,-24.399520861324547
75,PS_MIN,1674802153,656840085,80.71189869739078,28.02738018531022,8.82641685398445
