,recType,t_secs,t_nsecs,fe,ps,beta
0,FE_MAX,1674713370,41290271,148.52595168304683,41.781102782512676,16.078598118977865
1,FE_MIN,1674713374,501149671,0.9547256889267715,-6.623216201686454,0.028373895591565113
2,PS_MAX,1674713379,341198636,95.5879647145808,-71.793906819403,25.293081555460894
3,PS_MIN,1674713382,341212870,103.50370575730558,62.106553558705336,25.32764270670868
4,FE_MAX,1674713385,741163825,147.2682823716056,36.37898799976318,15.301392042804954
5,FE_MIN,1674713389,341177291,-1.2284899674781284,-6.9469622120824015,-3.1618457396081516
6,PS_MAX,1674713392,721226450,97.62896616716576,-79.87512286899312,24.74762347831689
7,PS_MIN,1674713396,81173708,111.28496164460495,67.66705053833907,27.55420991383006
8,FE_MAX,1674713465,621196855,151.42835977693156,49.1396836279905,15.644291219992045
9,FE_MIN,1674713468,421142913,-0.03662402271396321,-11.427033444493519,-0.4640809254019717
10,PS_MAX,1674713471,401159960,96.3335390839884,-77.25500866611792,30.642578306326786
11,PS_MIN,1674713474,521301157,107.55520878414701,67.63670590306025,33.1935898615389
12,FE_MAX,1674713478,261368778,149.2849370614587,45.214644337035075,17.67351644580824
13,FE_MIN,1674713481,81356822,-1.8610191778665166,-5.778197362521352,-3.735125857975215
14,PS_MAX,1674713484,81310194,90.50325028129606,-77.85302618076122,29.927365478821
15,PS_MIN,1674713486,461311019,101.52939222444772,64.1848119856054,34.22668069680167
16,FE_MAX,1674713529,41288231,147.4619144244423,57.23751589394033,19.91401744454371
17,FE_MIN,1674713531,601162069,-1.7525816288020537,-6.802259390904106,-3.4052043385091113
18,PS_MAX,1674713534,421219422,83.32154660255148,-81.2489368592941,32.616490694407084
19,PS_MIN,1674713536,981234497,94.77784920913408,59.4526193276349,35.947814588746304
20,FE_MAX,1674713540,361179870,150.52664447030295,47.87879399286892,17.53853141596984
21,FE_MIN,1674713543,201184803,-1.6648891619415327,-7.047121627682154,-5.516570268448161
22,PS_MAX,1674713546,441160141,85.28158348343986,-80.04580389143777,29.221222202701355
23,PS_MIN,1674713549,221480119,92.77940439379799,60.28885214208071,33.62219809084382
24,FE_MAX,1674713604,161148006,155.2179094378517,57.168553937351305,13.342997339332388
25,FE_MIN,1674713607,121132700,5.826958614894535,-3.854316835175699,-0.044488848437586215
26,PS_MAX,1674713610,1212604,114.52696103168316,-71.22937787544583,28.149753254605884
27,PS_MIN,1674713612,301196595,125.26734796565434,76.17619869077974,27.099541127541762
28,FE_MAX,1674713615,301172085,157.1671844819512,41.852402805066504,14.99483010348083
29,FE_MIN,1674713617,761163319,7.090806878133685,-5.8069789893262485,-0.13834642029221425
30,PS_MAX,1674713620,761229169,108.17344884644807,-76.27145982514314,26.58545892274909
31,PS_MIN,1674713623,421130947,122.77688871767926,75.22467298888834,27.4579160129324
32,FE_MAX,1674713662,701244331,157.9424605344131,48.325570577751215,15.456712948121432
33,FE_MIN,1674713665,541185241,3.354196669198327,-10.44219997271159,0.29318442205443723
34,PS_MAX,1674713668,441348103,86.0393285915649,-82.70080925653681,30.480034097835134
35,PS_MIN,1674713671,21180890,112.91536624371616,69.64858217733621,32.8480119563029
36,FE_MAX,1674713674,141164005,156.9245000382891,46.21510072648072,15.453165172891493
37,FE_MIN,1674713676,401198658,2.6432470439945637,-9.011027639448576,-0.37699209542144646
38,PS_MAX,1674713679,181164147,92.66839503222953,-84.53579665269389,30.369291547801616
39,PS_MIN,1674713681,961279281,106.71259468591145,67.2573330336044,35.85654508684537
40,FE_MAX,1674713738,261203928,155.95351550553232,62.75092885017805,17.918503632945047
41,FE_MIN,1674713740,901249737,7.407650222589161,-5.706070741251978,1.75191835853889
42,PS_MAX,1674713744,501129876,107.87425424867229,-80.73543452903036,29.74273154109585
43,PS_MIN,1674713747,81348572,119.26554298237696,75.88790797556354,30.65042829919623
44,FE_MAX,1674713760,961177136,155.74346111500037,62.5919148730925,16.076396666803692
45,FE_MIN,1674713764,41188926,2.857418451584806,-8.786132334373947,-1.3487423281230007
46,PS_MAX,1674713766,921304968,101.25815782828583,-78.05955407649644,32.22556790907006
47,PS_MIN,1674713769,621275934,107.83197673844072,71.4282870572356,35.63389273366954
48,FE_MAX,1674713808,961364430,158.64278707131766,62.43856565109036,15.084904124724632
49,FE_MIN,1674713811,721165848,6.441743829562305,-6.408817838126095,-0.8422586343236567
50,PS_MAX,1674713815,121367184,103.63845614483631,-78.58688044921567,29.26630581670714
51,PS_MIN,1674713817,781242193,116.56036603087276,74.63947070834551,33.96479841079165
52,FE_MAX,1674713820,961151875,160.3815337945116,50.205656682533856,14.829287885702955
53,FE_MIN,1674713823,601195813,5.342444749933677,-7.0454111708989045,-0.903745510404837
54,PS_MAX,1674713826,801152348,105.44169785939735,-77.71357359455945,28.799399381749023
55,PS_MIN,1674713829,881193843,121.74406612085357,75.4744856108998,31.192415324138516
56,FE_MAX,1674713849,121161561,159.4520056675203,62.41702942318497,15.889114082215295
57,FE_MIN,1674713852,241159431,4.9314432364551095,-6.907023735355547,-1.6284253937078699
58,PS_MAX,1674713855,161234114,106.82877510595814,-80.10302606686699,30.354433064686418
59,PS_MIN,1674713858,921203712,121.43402641147195,80.9637509419056,31.762990873840547
60,FE_MAX,1674713861,921169509,159.5236595181266,50.72246545940801,14.477441203125796
61,FE_MIN,1674713864,441159231,2.9604575604771206,-7.81163715475867,-2.0204193832290436
62,PS_MAX,1674713867,161417806,98.45426474596775,-82.0787836533061,31.191396729988174
63,PS_MIN,1674713869,901208776,118.27751556778152,77.18472984879264,32.77621557989944
